game_id,game_no,team,player_name,starter,minutes,minutes_float,points,rebounds,assists,steals,blocks,turnovers,fouls,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,efficiency,source_url
125120-PHI-JPN,9,Japan,Ramu Tokashiki,TRUE,10:24,10.4,3,2,0,0,0,0,1,1,1,100,1,1,100,0,0,0,5,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Maki Takada,TRUE,15:51,15.85,20,3,1,0,0,0,0,7,10,70,5,6,83.3,1,1,100,21,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Mai Kawai,FALSE,12:39,12.65,2,1,5,2,0,1,2,1,2,50,0,1,0,0,0,0,8,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Stephanie Mawuli,TRUE,13:50,13.83,6,1,1,0,2,1,1,2,6,33.3,0,2,0,2,2,100,5,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125120-PHI-JPN,9,Japan,Norika Konno,TRUE,19:53,19.88,9,4,0,0,0,2,2,4,7,57.1,1,4,25,0,0,0,8,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125120-PHI-JPN
125121-JPN-LBN,10,Japan,Mai Kawai,FALSE,6:34,6.57,2,0,1,0,0,0,2,1,3,33.3,0,2,0,0,0,0,1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Stephanie Mawuli,TRUE,20:12,20.2,5,6,4,0,0,1,2,2,9,22.2,1,4,25,0,0,0,7,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Norika Konno,TRUE,20:23,20.38,4,1,3,1,1,3,1,2,5,40,0,3,0,0,2,0,2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Maki Takada,TRUE,22:23,22.38,7,6,3,1,0,1,0,2,6,33.3,1,3,33.3,2,2,100,12,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Ramu Tokashiki,TRUE,23:19,23.32,4,4,2,0,0,2,0,2,3,66.7,0,0,0,0,0,0,7,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Kokoro Tanaka,TRUE,23:04,23.07,11,2,3,1,0,3,4,3,7,42.9,2,6,33.3,3,4,75,9,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Minami Yabu,FALSE,23:00,23,19,1,1,2,1,2,2,7,14,50,5,12,41.7,0,0,0,15,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Yuki Miyazawa,FALSE,21:58,21.97,9,5,3,0,1,0,2,3,6,50,3,5,60,0,0,0,15,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Anri Hoshi,FALSE,8:30,8.5,6,0,0,0,0,1,1,2,5,40,2,5,40,0,0,0,2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Nanako Todo,FALSE,18:17,18.28,3,1,1,2,1,0,3,1,7,14.3,1,6,16.7,0,0,0,2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Miwa Kuribayashi,FALSE,3:14,3.23,2,0,0,1,0,1,1,1,2,50,0,0,0,0,0,0,1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Japan,Monica Okoye,FALSE,9:06,9.1,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,-4,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Melody Saneh,FALSE,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Zena Ramiz Elias,TRUE,12:54,12.9,2,6,1,0,0,2,1,1,6,16.7,0,0,0,0,0,0,2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Maygen Naassan,FALSE,12:37,12.62,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Maria Ghaleb,FALSE,27:37:00,27.62,4,6,0,2,0,2,1,1,6,16.7,0,2,0,2,2,100,5,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Daniella Fayad,TRUE,28:47:00,28.78,6,5,0,1,1,1,1,2,6,33.3,0,1,0,2,2,100,8,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Nour Labban,FALSE,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Tina Rita Raffoul,FALSE,6:41,6.68,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Rebecca Akl,TRUE,33:33:00,33.55,27,5,0,0,0,8,2,8,16,50,2,6,33.3,9,14,64.3,11,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Jillian Archer,TRUE,37:22:00,37.37,10,12,1,2,1,2,2,4,10,40,0,0,0,2,2,100,18,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,PERLA BOU NASR,FALSE,4:09,4.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Mariam Jomaa,FALSE,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125121-JPN-LBN,10,Lebanon,Amar Mansour,TRUE,36:20:00,36.33,19,7,5,2,0,3,4,7,15,46.7,0,4,0,5,6,83.3,21,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125121-JPN-LBN
125122-LBN-AUS,11,Lebanon,Amar Mansour,TRUE,6:35,6.58,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,-2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,Mariam Jomaa,FALSE,16:49,16.82,3,2,0,1,0,2,0,1,2,50,1,2,50,0,0,0,3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,PERLA BOU NASR,FALSE,17:26,17.43,0,0,0,0,0,1,0,0,5,0,0,3,0,0,0,0,-6,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,Jillian Archer,TRUE,10:00,10,2,2,0,0,0,1,1,0,2,0,0,0,0,2,2,100,1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,Rebecca Akl,TRUE,7:05,7.08,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0,-2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,Tina Rita Raffoul,FALSE,30:51:00,30.85,9,3,2,0,0,5,5,3,8,37.5,1,5,20,2,3,66.7,3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
