id,game_id,game_no,team,player_name,starter,minutes,minutes_float,points,rebounds,assists,steals,blocks,turnovers,fouls,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,efficiency,source_url
516,125113-NZL-KOR,2,New Zealand,Emilia Shearer,True,30:17,30.28,22,4,3,0,1,1,2,8,17,47.1,2,5,40.0,4,4,100.0,20.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
517,125113-NZL-KOR,2,Korea,Heji An,True,24:0,24.0,2,1,3,0,0,1,1,1,3,33.3,0,1,0.0,0,0,0.0,3.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
518,125113-NZL-KOR,2,Korea,Jihyun Shin,False,6:35,6.58,0,1,0,0,0,1,0,0,3,0.0,0,2,0.0,0,0,0.0,-3.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
519,125113-NZL-KOR,2,Korea,Leeseul Kang,True,25:40,25.67,19,5,3,0,0,1,3,6,14,42.9,6,13,46.2,1,2,50.0,17.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
520,125113-NZL-KOR,2,Korea,Yeeun Heo,False,14:29,14.48,0,2,7,1,0,1,4,0,2,0.0,0,2,0.0,0,0,0.0,7.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
521,125113-NZL-KOR,2,Korea,Isaem Choi,True,30:3,30.05,23,6,0,0,0,1,1,9,14,64.3,5,9,55.6,0,0,0.0,23.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
522,125113-NZL-KOR,2,Korea,Jisu Park,True,19:16,19.27,8,6,4,1,4,5,4,3,10,30.0,0,1,0.0,2,2,100.0,11.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
523,125113-NZL-KOR,2,Korea,Juyeon Lee,False,1:31,1.52,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,-1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
524,125113-NZL-KOR,2,Korea,Jihyun Park,True,30:36,30.6,20,7,3,4,0,2,3,8,12,66.7,2,4,50.0,2,4,50.0,26.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
525,125113-NZL-KOR,2,Korea,Yoolim Kang,False,3:49,3.82,0,0,0,0,1,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
